6	3	18	4	OUR OPERATIONS ARE VULNERABLE TO NATURAL DISASTERS AND OTHER EVENTS, INCLUDING TERRORIST ATTACKS, BECAUSE WE HAVE LIMITED BACKUP SYSTEMS.
6	24	11	4	Our reputation and financial results could be negatively affected in the event of a major aircraft accident.
20	26	18	10	The markets for Alcan's products are highly competitive and the willingness of customers to accept substitutions for Alcan's products is high.
10	67	25	1	If we fail to secure or protect our intellectual property rights, competitors may be able to use our technologies, which could weaken our competitive position, reduce our revenue or increase our costs.
8	67	37	7	We may experience a decrease in market demand due to uncertain economic conditions in the United States and in international market, including as a result of the concerns of terrorism, war and social and political instability.
17	73	8	22	We depend upon contract manufacturers and any disruption in these relationships may cause us to fail to meet the demands of our customers and damage our customer relationships.
1	82	0	28	Our business strategy includes significant growth plans. Our financial condition and results of operations could be negatively affected if we fail to grow or fail to manage our growth effectively.
7	93	18	6	Because key stockholders beneficially own a significant amount of our common stock, they may be able to exert control over us.
10	107	16	10	We have agreed to share our name, portions of our intellectual property rights and distribution channels with other entities under common control which could result in the loss of our name and to lock in the price of products we may sell to these entities which may not be the best price available for these products.
5	117	5	18	Tax law changes could make home ownership more expensive or less attractive.
26	129	2	19	Adoption of Share-Based Payments may have a significant effect on our results of operations.
5	135	11	8	Compliance with changing regulation of corporate governance and public disclosure may result in additional expenses.
22	145	0	16	Changes in consumer eating habits as a result of new information regarding diet, nutrition and health could impact demand for our menu and bakery product offerings.
24	166	0	21	Our business, financial condition or results of operation could be adversely affected by our inability to enhance existing products or introduce new products to meet consumer preferences, including timely introductions as new consumer technologies are introduced.
18	179	4	4	A substantial or extended decline in crude oil, natural gas and natural gas liquids prices, as well as refining margins, would reduce our operating results and cash flows, and could impact our future rate of growth and the carrying value of our assets.
5	181	8	17	We operate under a variety of safety and environmental laws and regulations, and are subject to national, state, provincial, international and/or local laws and regulations.
26	186	11	16	Real estate investments are illiquid, and we may not be able to sell our properties on a timely basis when we determine it is appropriate to do so.
4	191	26	28	We may fail to realize the anticipated revenue growth and cost synergies from the integration of CSG s banking businesses.
27	197	2	12	Aesthetic Procedures for Improving the Skin s Appearance and Their Limitations
20	203	0	10	We face intense competition and if we are unable to compete effectively, we may face decreased demand or price reductions for our products.
12	208	14	2	Unexpected outcomes in our legal proceedings could materially impact our results.
10	211	31	1	Our ability to protect our intellectual property and proprietary technology through patents and other means is uncertain.
6	218	14	7	Adverse weather conditions may prevent or delay the construction of homes and reduce the number of home sales
9	235	24	19	Any properties we invest in outside of the United States may be subject to foreign taxes.
23	237	22	11	Our stock price has been volatile historically and may continue to be volatile.
26	244	23	9	We have a limited operating history as an independent company, which may make our business difficult to evaluate.
3	251	3	14	We may not be able to collect sufficient amounts on our receivable portfolios to recover our costs and fund our operations.
20	257	8	29	We encounter competition for our products and services from other third party providers and we could lose existing customers and fail to attract new business.
27	260	0	5	The following Risk Factors may contain defined terms that are different from those used in the other sections of this report. Unless otherwise indicated, when used in this section, the terms we and us refer to Equity Residential and its subsidiaries, including ERP Operating Limited Partnership.
27	266	9	3	All of our units and substantially all of the common units of Enterprise Products Partners that are owned by EPCO and its affiliates, other than Dan Duncan LLC and certian trusts affiliated with Dan L. Duncan, are pledged as security under the credit facility of an affiliate of EPCO. Upon an event of default under this credit facility, a change in ownership or control of us or Enterprise Products Partners could result.
5	285	7	17	Our business is subject to extensive regulation which increases our costs and may result in losses.
5	289	13	8	Changes in golf equipment regulatory standards could adversely affect our Golf business.
7	297	19	6	Messrs. Gottlieb and Lebowitz control all matters that are subject to stockholder approval as a result of their ownership of 100% of our common stock.
21	298	17	5	We may face quarterly and seasonal fluctuations that could harm our business
17	300	6	29	We are dependent on manufacturing and services provided by a limited number of third parties and failure to properly manage these relationships could significantly impact our results of operations.
26	302	0	9	The Company has no operating history, revenue and only minimal assets.
26	302	1	3	The Company may be deemed to be a blank check company until we adopt a business plan.
9	307	9	5	Approximately half of our product sales occurs outside the United States, and currency fluctuations may cause our earnings to fluctuate, which could adversely affect our stock price.
5	309	13	17	Compliance with environmental and other governmental regulations could be costly and could negatively impact our operations.
8	314	10	7	Our operating results are primarily dependent on advertising revenues and, as a result, we may be more vulnerable to economic downturns than businesses in other industries.
17	331	9	22	If we are unable to maintain good relations with the physicians, hospitals and other providers that we contract with, our profitability could be adversely affected.
26	331	15	12	We are a holding company and a substantial amount of our cash flow is generated by our subsidiaries.
21	341	2	5	The Company s operating results fluctuate on a seasonal and quarterly basis and in the event it does not generate sufficient net sales in the third quarter, it may not be able to meet the debt service and other obligations.
26	346	4	15	Operational risks and hazards associated with the development of the underlying properties may decrease trust distributions.
24	347	5	21	We may not be able to adapt to technological changes in the telecommunications marketplace.
22	367	3	21	If we fail to adequately manage rapid changes in demand, our profitability and cash flow may be reduced or eliminated.
24	374	12	24	Estimated development costs are difficult to project and may change frequently prior to regulatory approval.
16	390	25	24	We have obtained some of our rights from third parties. If our agreements with these parties do not appear as we anticipate our business may be adversely affected.
14	415	15	26	System failure or breaches of our network security could subject us to increased operating costs as well as litigation and other liabilities.
26	434	37	18	A change in control of us, our general partner or MMP s general partner could increase MMP s G A expenses, which in turn could reduce MMP s distribution to us.
26	434	40	6	The fiduciary duties of our general partner s officers and directors may conflict with those of Magellan GP, LLC, MMP s general partner.
5	449	27	17	Our operations involve hazardous materials and are subject to environmental, health and safety controls and regulations.
4	456	31	28	While the merger agreement is in effect, we are subject to significant restrictions on our business activities, and activities relating to the merger may divert the attention of our employees.
26	477	11	3	Various entities which are affiliated with Morris Communications and the Morris family have engaged, and may in the future engage, in transactions with us some of which may be viewed, from the perspective of a holder of the notes, as disadvantageous to us or an inappropriate use of our resources.
8	479	3	16	An economic downturn in the market area we serve may cause us to have lower earnings and could increase our credit risk associated with our loan portfolio
5	485	31	3	Provisions of our certificate of incorporation and approved exchange rules, including provisions included to address SEC concerns, and Delaware law could delay or prevent a change in control of our company and entrench current management.
5	524	9	17	We operate in a highly regulated industry, and increased costs of compliance with, or liability for violation of, existing or future regulations could have a material adverse effect on our business.
13	527	12	29	We could be required to incur significant capital expenditures for manufacturing and information technology and equipment to remain competitive, the failure, inadequacy or delayed implementation of which could harm our ability to effectively operate our business.
3	532	4	13	OEH may be unable to obtain the necessary additional capital to finance the growth of its business.
8	540	0	7	Changes in economic conditions could negatively impact the Company s business.
5	545	11	17	Increased costs associated with complying with these new environmental laws and regulations, when coupled with our existing cost structure and our limited resources, could delay development of next-generation products.
13	548	35	25	Expanding the Partnership s midstream business by constructing new gathering systems, pipelines and processing facilities subjects it to construction risks.
5	549	41	18	Tax-exempt entities, regulated investment companies and foreign persons face unique tax issues from owning common units that may result in adverse tax consequences to them.
17	553	6	8	Since we depend upon franchisees to maintain the scope of our network, our results could be adversely affected if we lose franchisees.
12	568	28	2	From time to time, we become defendants in legal proceedings about which we are unable to assess our exposure and which could become significant liabilities upon judgment.
26	584	0	5	We expect the announced end-of-life of our pASIC1 and pASIC2 products will result in a decline in our revenue
10	590	13	1	The Company s success and ability to compete is dependent upon its ability to protect its proprietary technology.
15	610	23	0	Retention of Key Personnel If we lose certain key personnel or are unable to hire additional qualified personnel, we may not be able to execute our business strategy.
20	628	14	21	We face intense competition and rapid technological change, which may result in others discovering, developing or commercializing competing products before or more successfully than we do.
26	635	7	16	We focus almost exclusively on the self-storage business, which makes us vulnerable to changes in the profitability of self-storage properties.
4	642	6	28	Significant costs to integrate our acquired operations may negatively affect our financial condition and the market price of our stock.
19	653	10	12	Our large customers have substantial negotiating leverage, which may require that we agree to terms and conditions that may have an adverse effect on our business.
26	655	2	9	Our recent operating results may not be indicative of our future operating results.
26	660	6	2	The insurance industry is the subject of a number of investigations by state and federal authorities in the United States. We cannot predict the outcome of these investigations or the impact on our business or financial results.
5	662	14	23	Failure to establish and maintain effective internal control over financial reporting in accordance with Section 404 of the Sarbanes-Oxley Act of 2002 could have a material adverse effect on our business.
20	670	1	10	Our industry is very competitive and we cannot assure you that we will be able to compete successfully against all of our competitors.
5	676	38	18	Recent change in taxation of corporate distributions may adversely affect the value of our shares.
8	688	4	7	Our business is subject to the conditions of the local economy in which we operate.
15	696	31	0	If we lose any of our key personnel or are unable to attract, train and retain qualified personnel, we may not be able to execute our business strategy effectively.
15	700	28	0	Our success depends on key personnel, the loss of whom could impair our ability to operate our business successfully.
5	719	5	17	We are subject to extensive regulation in the jurisdictions in which we conduct our businesses.
26	734	0	10	Our earnings may not continue to grow if we are unable to successfully attract core deposits and lending opportunities and exploit opportunities to generate fee-based income.
26	740	9	14	We have a significant amount of goodwill and other intangible assets and we may never realize the full value of our intangible assets.
4	748	8	28	We may not realize the improved operating results that we anticipate from acquisitions we may make in the future, and we may experience difficulties in integrating the acquired businesses or may inherit significant liabilities related to such businesses.
4	749	18	3	We could issue additional preferred stock and take other actions that might discourage third parties from acquiring us.
23	752	34	6	Issuance of shares of common stock upon conversion or repayment of our convertible notes and exercise of warrants will dilute the ownership interest of existing shareholders and could adversely affect the market price of our common stock.
20	762	24	2	Steven Roth and Interstate Properties may exercise substantial influence over us. They and some of our other trustees and officers have interests or positions in other entities that may compete with us.
17	776	8	22	Disruptions in the supply of key raw materials and difficulties in the supplier qualification process, could adversely impact our operations.
18	789	0	4	We are limited in our ability to pass through metal costs to customers and therefore may not be able to effectively manage our exposure to fluctuations in aluminum prices.
15	789	10	25	We have a unionized workforce, and union disputes and other employee relations issues could harm our financial results.
26	791	10	25	Our natural gas distribution activities involve numerous risks that may result in accidents and other operating risks and costs.
9	793	6	19	Because we have substantial operations outside the United States, we are subject to the economic and political conditions of foreign nations.
3	793	21	12	Required payments with respect to our indebtedness and payments pursuant to our dividend policy will reduce the amount of funds available for other corporate purposes, which could harm our competitiveness and/or limit opportunities to grow our business.
10	795	16	1	Our business may be impaired by third party intellectual property rights.
9	798	25	19	Our international operations are subject to increased risks which could harm our business, operating results and financial condition.
26	833	27	2	We may have liability for Internet content and we may not have adequate liability insurance.
26	855	33	2	Some potential losses of the Resort are not covered by insurance.
14	857	4	29	Problems with our information system software could disrupt our operations and negatively impact our financial results and materially adversely affect our business operations.
5	861	30	3	Loans to one of our executive officers may have been amended in violation of Section 402 of the Sarbanes-Oxley Act of 2002.
26	871	0	9	Our limited operating history makes it difficult to evaluate our business and prospects.
10	871	30	1	We rely on trademark, copyright and trade secret laws and contractual restrictions to protect our proprietary rights, and if these rights are not sufficiently protected, it could harm our ability to compete and generate income.
24	875	2	21	If we are unable to continue to develop and commercialize new technologies and products, we may experience a decrease in demand for our products or our products could become obsolete.
9	912	9	19	We sell and trade with foreign customers, which subjects our business to increased risks applicable to international sales
17	923	6	22	A change in one or more of the Company s vendors policies or the Company s relationship with those vendors could adversely affect the Company s results of operations.
9	952	18	19	WE ARE EXPOSED TO FLUCTUATIONS IN CURRENCY EXCHANGE RATES THAT COULD NEGATIVELY IMPACT OUR FINANCIAL RESULTS AND CASH FLOWS
26	985	15	8	The terms and enforceability of many of our strategic partner relationships are uncertain.
16	994	13	8	An inability to obtain or maintain roaming arrangements with other carriers on terms that are acceptable to TDS, and/or changes in roaming rates and the lack of standards and roaming agreements for wireless data products, could have an adverse effect on TDS s business, financial condition or results of operations.
8	997	26	7	Changes in general economic and business conditions, both nationally and in the markets in which U.S. Cellular operates, could have an adverse effect on U.S. Cellular s business, financial condition or results of operations.
15	1001	1	0	If we are unable to attract and retain key leadership, we may be unable to successfully meet the challenges the Company faces.
20	1003	8	10	Our business is highly competitive, and increased competition could negatively impact our financial results.
9	1003	13	19	Economic, political and other risks associated with foreign operations could adversely affect our international financial results.
9	1006	13	19	We conduct a significant amount of our sales activity and manufacturing efforts outside the United States, which subjects us to additional business risks and may adversely affect our results of operations.
20	1014	2	10	We face intense competition from our current competitors and, as the enterprise communications an d information technology markets evolve, may face increased competition from companies that do not currently compete directly against us.
26	1026	1	28	Our Business Model Continues To Evolve, Which Makes Our Operations And Prospects Difficult To Evaluate.
20	1026	3	10	We Face Significant Competition From Companies That Have Longer Operating Histories And Greater Resources Than We Do, And Our Business Will Suffer If We Fail To Compete Effectively.
24	1026	19	21	We May Not Successfully Develop Or Introduce New Products Or Enhancements To Existing Products, Or Successfully Integrate The Outtask Products And Services, So We May Lose Existing Customers Or Fail To Attract New Customers And Our Revenues May Suffer.
4	1035	2	28	Whether or not the merger with Pilgrim is completed, the announcement and pendency of the merger could cause disruptions in our business, which could adversely affect our operations and results.
5	1040	20	18	IDT is subject to tax and regulatory audits which could result in the imposition of liabilities that may or may not have been reserved against.
10	1054	21	1	Our products may infringe the intellectual property rights of others, subjecting us to claims for infringement, payment of license royalties, or other damages.
17	1057	16	22	Our Business, Financial Condition And Results of Operations Depend Upon Maintaining Our Relationships With Vendors
26	1062	1	23	Our future financial results will be affected by the adoption of fresh start accounting and may not reflect historical trends.
13	1087	10	29	Success of our business depends in part on effective information technology systems and on continuing to develop and implement improvements in technology; certain significant multi-year strategic information technology projects are currently in process.
9	1094	3	19	We are dependent on our international manufacturing operations, which exposes us to foreign operational, political and other risks that may harm our business.
6	1108	14	2	Our towers may be affected by natural disasters and other unforeseen damage for which our insurance may not provide adequate coverage.
4	1114	9	28	If we engage in any acquisition as a part our growth strategy, we will incur a variety of costs, and may never realize the anticipated benefits of the acquisition.
23	1114	16	11	Our stock price has been and may remain highly volatile, and we cannot assure you that market making in our common stock will continue.
26	1127	10	28	We may engage in hedging or derivative transactions which involve risks that can harm our business.
20	1128	4	10	We may fail to compete effectively, particularly against larger, more established pharmaceutical companies, causing our business to suffer.
10	1131	14	1	Our inability to protect the intellectual property created by us would cause our business to suffer.
26	1131	19	28	Our plans call for growth in our business, and our inability to achieve or manage growth could harm our business.
2	1132	25	28	Our reorganization efforts may disrupt our business or affect our profitability.
7	1139	10	6	Our directors and executive officers own a significant portion of our common stock.
5	1162	5	17	We are subject to comprehensive regulation, and our ability to earn profits may be adversely affected by these regulations.
5	1162	7	17	Regulation may become more extensive in the future, which may adversely affect our business.
26	1165	14	18	Our partnership status may be a disadvantage to us in calculating cost of service for rate-making purposes.
17	1168	7	22	We depend on vendors and service providers to operate our business and any disruption of their supply of products and services could have an adverse impact on our revenue and profitability.
10	1168	23	1	Our inability or failure to protect our intellectual property could have a negative impact on our operating results.
17	1185	15	22	We depend upon a limited number of suppliers to supply our products who may not provide us with competitive products at reasonable prices when we need them in the future, or with adequate financing to secure such products.
13	1191	13	26	We may have experienced a security breach with respect to certain customer credit and debit card data, and we have incurred and may continue to incur substantial costs as a result of this matter. We may also incur costs resulting from other security risks we may face in connection with our electronic processing and transmission of confidential customer information.
7	1196	27	6	Our directors and certain significant stockholders exercise significant control over Clayton.
20	1198	11	7	Our business and financial condition may be adversely affected by competition.
8	1228	14	7	Adverse economic and geopolitical conditions could negatively affect our returns and profitability.
26	1242	11	27	Duke Energy is exposed to credit risk of counterparties with whom Duke Energy does business.
26	1252	1	15	Exploring for and producing oil and natural gas are high-risk activities with many uncertainties that could adversely affect our business, financial condition or results of operations.
20	1253	26	22	An increased concentration of wafer manufacturing in Japan could result in lower sales of our wafer shipper products.
5	1255	5	16	Recent supervisory guidance on commercial real estate concentrations could restrict our activities and impose financial requirements or limitations on the conduct of business.
5	1259	4	17	We are subject to extensive regulation which could adversely affect our business and operations.
9	1270	18	19	Due to our extensive international operations and sales, we are exposed to foreign currency exchange rate risks that could adversely affect our revenues, gross margins and results of operations.
15	1286	4	0	We depend on the services of our Management team and the unexpected loss of any member of the Management team could disrupt our operations and may adversely affect our operations.
5	1295	19	23	Our business is subject to reporting requirements that continue to evolve and change, which could continue to require significant compliance effort and resources.
15	1302	2	0	Because competition for the services of brokers is intense, we may not be able to attract and retain the highly skilled brokers we need to support our business or we may be required to incur additional expense to do so.
4	1306	8	28	Historically, we have experienced rapid growth in our student housing and military housing businesses and may not be able to adapt our management and operational systems to respond to the acquisition and integration of these properties and investments in privatization projects, or to respond to new properties and projects that we acquire in the future, without unanticipated disruption or expense.
7	1316	15	6	Our directors, executive officers and significant shareholders hold a substantial portion of our stock that may lead to conflicts with other shareholders over corporate governance.
20	1318	1	10	The apparel industry is highly competitive, and we may face difficulties competing successfully in the future.
5	1335	19	17	We may be held liable for the release of hazardous materials, which could result in extensive clean up costs or otherwise harm our business.
3	1337	24	13	If we seek to secure additional financing, we may not be able to obtain it. Also, if we are able to secure additional financing, our shareholders may experience dilution of their ownership interest or we may be subject to limitations on our operations
5	1342	10	17	Our timeshare business is subject to extensive regulation and if we fail to comply with such regulation our timeshare business could suffer.
26	1353	19	23	Our internal control over financial reporting could be adversely affected by a material weakness in our internal controls.
10	1369	16	1	WE RELY HEAVILY ON OUR PATENTS AND PROPRIETARY RIGHTS TO ATTRACT PARTNERSHIPS AND MAINTAIN MARKET POSITION.
7	1372	39	6	Our existing principal stockholders hold a substantial amount of our common stock and may be able to influence significant corporate decisions, which may conflict with the interest of other stockholders.
6	1378	6	4	Threats of terrorism and catastrophic events that could result from terrorism or natural disasters may impact our operations in unpredictable ways -
26	1380	2	16	Investments in junior mortgages may be riskier than investments in senior mortgages.
21	1396	4	7	Certain K2 businesses are highly seasonal and subject to the conditions of the sporting goods industry.
18	1406	4	22	We are dependent on the pricing and availability of raw materials and components, and price increases and unavailability of raw materials and components could lower sales, increase our cost of goods sold and reduce our profits and margins.
5	1414	18	17	We are subject to international, federal, state and local laws and regulations that could impose additional costs or changes on the conduct of our business.
26	1415	7	29	Our ability to maintain and attract new business depends upon our reputation, the professional reputation of our experts and the quality of our services on client projects.
23	1424	27	11	Our stock price may decline significantly because of stock market fluctuations that affect the prices of technology stocks. A decline in our stock price could result in securities class action litigation against us that could divert management s attention and harm our business.
